Fund Name,Category,Subcategory,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Std Dev,Mean Return (%),YTM (%),Modified Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),Top Holdings Count,Fund URL,ISIN,Scheme Code,No. of Stocks,Top 10 Stocks (%),Top 5 Stocks (%),Top 3 Sectors (%),P/B Ratio,P/E Ratio,Alpha Score(4),Sharpe Score(4),Sortino Score(4),RiskAdj Perf(12),StdDev Score(4),MeanRet Score(4),Beta Score(2),Vol & Return(10),NumStocks Score(2),Top10 Score(2),Top5 Score(2),Top3Sec Score(2),Diversification(8),PE Score(3),PB Score(3),Valuation(6),YTM Score(1),Duration Score(1),Maturity Score(1),Credit Score(1),Debt Quality(4),Total Score(40),Risk Category,Fund Rating
ABSL Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,2.64,14.1,,BSE 500 TRI,0.79,13.68,,0.29,0.95,0.53,14.9,13.79,,,,,25,https://www.valueresearchonline.com/funds/41814/,INF209KB14D2,149295,,,,,,,2,2,1,5,2,3,1,6,1.5,1.5,1.5,1,5.5,1.5,1.5,3.0,0,0,0,0,0,19.5,Moderately High Risk,Average
Axis Business Cycles Dir,solution-oriented,Solution: Retirement - Equity,Direct,1.88,15.46,,BSE 500 TRI,0.79,13.68,,1.83,1.01,0.62,15.91,15.78,,,,,25,https://www.valueresearchonline.com/funds/43124/,INF846K016N4,151368,,,,,,,2,2,1,5,1,3,1,5,1.5,1.5,1.5,1,5.5,1.5,1.5,3.0,0,0,0,0,0,18.5,Moderately High Risk,Average
Bandhan Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,-1.29,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44520/,INF194KB1IQ6,152878,,,,,,,1,1,1,3,1,1,1,3,2,1.5,1.5,1,6.0,2,2,4,0,0,0,0,0,16.0,Moderately High Risk,Average
Bank of India Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,2.69,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44474/,INF761K01GF3,152789,,,,,,,1,1,1,3,1,1,1,3,1.5,1.5,1.5,1.5,6.0,1.5,1.5,3.0,0,0,0,0,0,15.0,Moderately High Risk,Average
Baroda BNP Paribas Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,2.55,16.04,,BSE 500 TRI,0.79,13.68,,2.12,1.02,0.64,16.11,16.18,,,,,25,https://www.valueresearchonline.com/funds/41671/,INF955L01KK1,149141,,,,,,,3,2,1,6,1,3,1,5,1.5,1.5,1.5,1,5.5,1.5,1.5,3.0,0,0,0,0,0,19.5,Moderately High Risk,Average
DSP Business Cycle Fund Dir,solution-oriented,Solution: Retirement - Equity,Direct,4.94,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44760/,INF740KA1UX7,153121,,,,,,,1,1,1,3,1,1,1,3,1.5,1,1,1,4.5,1.5,1,2.5,0,0,0,0,0,13.0,Moderately High Risk,Average
Edelweiss Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,-1.15,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44394/,INF754K01TA2,152710,,,,,,,1,1,1,3,1,1,1,3,1.5,2,2,1,6.5,2,2,4,0,0,0,0,0,16.5,Moderately High Risk,Average
HDFC Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,3.39,12.98,,BSE 500 TRI,0.79,13.68,,-1.13,0.95,0.43,15.09,12.34,,,,,25,https://www.valueresearchonline.com/funds/42727/,INF179KC1DY9,150805,,,,,,,1,1,1,3,1,3,1,5,1.5,1.5,1.5,1,5.5,1.5,1.5,3.0,0,0,0,0,0,16.5,Moderately High Risk,Average
HSBC Business Cycles Dir,solution-oriented,Solution: Retirement - Equity,Direct,-1.47,18.57,17.11,BSE 500 TRI,0.79,13.68,12.33,2.85,1.22,0.62,20.43,18.44,,,,,25,https://www.valueresearchonline.com/funds/27583/,INF917K01RI2,151142,,,,,,,3,2,1,6,1,4,1,6,1.5,1.5,1.5,1,5.5,2,2,4,0,0,0,0,0,21.5,Moderate Risk,Average
ICICI Pru Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,3.74,20.07,18.05,BSE 500 TRI,0.79,13.68,12.33,6.2,0.9,0.93,14.49,19.29,,,,,25,https://www.valueresearchonline.com/funds/41245/,INF109KC1P24,148651,,,,,,,4,2,1,7,2,4,1,7,1.5,1,1,1,4.5,1.5,2,3.5,0,0,0,0,0,22.0,Moderate Risk,Average
Invesco India Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,16.07,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44930/,INF205KA1AI8,153291,,,,,,,1,1,1,3,1,1,1,3,1,1,1.5,1,4.5,1,1.5,2.5,0,0,0,0,0,13.0,Moderately High Risk,Average
ITI Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45807/,INF00XX01AE2,148913,,,,,,,1,1,1,3,1,1,1,3,1,1,1,1,4,1,1,2,0,0,0,0,0,12,High Risk,Poor
Kotak Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,5.45,17.83,,BSE 500 TRI,0.79,13.68,,3.48,0.95,0.72,15.35,16.93,,,,,25,https://www.valueresearchonline.com/funds/42533/,INF174KA1JN6,150624,,,,,,,3,2,1,6,1,3,1,5,1.5,1,1,1,4.5,1.5,1,2.5,0,0,0,0,0,18.0,Moderately High Risk,Average
Mahindra Manulife Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,8.02,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/43736/,INF174V01BQ4,152045,,,,,,,1,1,1,3,1,1,1,3,1.5,1.5,2,1,6.0,2,2,4,0,0,0,0,0,16.0,Moderately High Risk,Average
Motilal Oswal Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,-6.74,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44480/,INF247L01DG6,152796,,,,,,,1,1,1,3,1,1,1,3,1,1,1,1,4,1,1.5,2.5,0,0,0,0,0,12.5,High Risk,Poor
Quant Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,4.93,20.13,,BSE 500 TRI,0.79,13.68,,5.16,1.22,0.71,20.95,20.75,,,,,14,https://www.valueresearchonline.com/funds/43518/,INF966L01BR2,151757,,,,,,,4,2,1,7,1,4,1,6,1,1,1,1,4,1.5,2,3.5,0,0,0,0,0,20.5,Moderate Risk,Average
Sundaram Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,1,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44362/,INF903JA1LQ6,152677,,,,,,,1,1,1,3,1,1,1,3,1,1.5,1.5,1,5.0,1,1.5,2.5,0,0,0,0,0,13.5,Moderately High Risk,Average
Tata Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,2.66,17.16,,BSE 500 TRI,0.79,13.68,,3.9,1,0.75,15.82,17.74,,,,,25,https://www.valueresearchonline.com/funds/41581/,INF277KA1166,149071,,,,,,,3,2,1,6,1,3,1,5,1.5,1.5,1.5,1,5.5,1.5,2,3.5,0,0,0,0,0,20.0,Moderate Risk,Average
Union Business Cycle Dir,solution-oriented,Solution: Retirement - Equity,Direct,6.43,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44138/,INF582M01JQ0,152409,,,,,,,1,1,1,3,1,1,1,3,1.5,1.5,1.5,1,5.5,1.5,1.5,3.0,0,0,0,0,0,14.5,Moderately High Risk,Average
Axis Innovation Dir,solution-oriented,Solution: Retirement - Hybrid,Direct,4.79,15.65,12.28,BSE 500 TRI,0.79,13.68,12.33,3.64,0.83,0.72,14.19,16.13,,,,,25,https://www.valueresearchonline.com/funds/41225/,INF846K01X71,148634,,,,,,,3,2,1,6,2,3,1,6,1.5,1.5,2,1,6.0,1,1,2,0,0,0,0,0,20.0,Moderate Risk,Average
Bandhan Innovation Dir,solution-oriented,Solution: Retirement - Hybrid,Direct,14.23,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44247/,INF194KB1IE2,152607,,,,,,,1,1,1,3,1,1,1,3,1.5,1.5,2,1.5,6.5,1,1,2,0,0,0,0,0,14.5,Moderately High Risk,Average
Baroda BNP Paribas Innovation Dir,solution-oriented,Solution: Retirement - Hybrid,Direct,7.98,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44102/,INF251K01TE1,152470,,,,,,,1,1,1,3,1,1,1,3,1,1.5,2,1,5.5,1,1,2,0,0,0,0,0,13.5,Moderately High Risk,Average
HDFC Innovation Dir,solution-oriented,Solution: Retirement - Hybrid,Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45275/,INF179KC1JO7,153620,,,,,,,1,1,1,3,1,1,1,3,1.5,1.5,1.5,1,5.5,1,1,2,0,0,0,0,0,13.5,Moderately High Risk,Average
ICICI Pru Innovation Dir,solution-oriented,Solution: Retirement - Hybrid,Direct,3.71,22.37,,BSE 500 TRI,0.79,13.68,,8.64,0.96,1.05,15.46,22.18,,,,,25,https://www.valueresearchonline.com/funds/43444/,INF109KC12T2,151580,,,,,,,4,3,1,8,1,4,1,6,1.5,1.5,2,1,6.0,2,1.5,3.5,0,0,0,0,0,23.5,Moderate Risk,Average
Kotak Pioneer Dir*,solution-oriented,Solution: Retirement - Hybrid,Direct,10.38,21.62,16.72,BSE 500 TRI,0.79,13.68,12.33,7.78,0.91,0.98,15.38,20.9,,,,,25,https://www.valueresearchonline.com/funds/40376/,INF174KA1EZ1,147727,,,,,,,4,2,1,7,1,4,1,6,1,1,1,1,4,1,1,2,0,0,0,0,0,19,Moderately High Risk,Average
Mahindra Manulife Innovation Opportunities Dir,solution-oriented,Solution: Retirement - Hybrid,Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45737/,INF174V01DA4,154121,,,,,,,1,1,1,3,1,1,1,3,1,1.5,2,1,5.5,1,1,2,0,0,0,0,0,13.5,Moderately High Risk,Average
Motilal Oswal Innovation Opportunities Dir,solution-oriented,Solution: Retirement - Hybrid,Direct,14.77,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44902/,INF247L01EJ8,153258,,,,,,,1,1,1,3,1,1,1,3,1,1.5,1.5,1,5.0,1,1,2,0,0,0,0,0,13.0,Moderately High Risk,Average
Nippon India Innovation Dir,solution-oriented,Solution: Retirement - Hybrid,Direct,3.62,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/43721/,INF204KC1BO3,152033,,,,,,,1,1,1,3,1,1,1,3,1,1.5,1.5,1,5.0,1.5,1.5,3.0,0,0,0,0,0,14.0,Moderately High Risk,Average
SBI Innovative Opportunities Dir,solution-oriented,Solution: Retirement - Hybrid,Direct,0.88,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44459/,INF200KB1324,152776,,,,,,,1,1,1,3,1,1,1,3,1,1,1.5,1,4.5,1,1,2,0,0,0,0,0,12.5,High Risk,Poor
Tata India Innovation Dir,solution-oriented,Solution: Retirement - Hybrid,Direct,1.87,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44716/,INF277KA1CU2,153055,,,,,,,1,1,1,3,1,1,1,3,1.5,1.5,1.5,1,5.5,1.5,1.5,3.0,0,0,0,0,0,14.5,Moderately High Risk,Average
Union Innovation & Opportunities Dir,solution-oriented,Solution: Retirement - Hybrid,Direct,8.93,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/43670/,INF582M01JE6,151905,,,,,,,1,1,1,3,1,1,1,3,1.5,1.5,2,1,6.0,1,1,2,0,0,0,0,0,14.0,Moderately High Risk,Average
UTI Innovation Dir,solution-oriented,Solution: Retirement - Hybrid,Direct,-4.96,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/43799/,INF789F1AZA4,152087,,,,,,,1,1,1,3,1,1,1,3,1,1,1,1,4,1,1.5,2.5,0,0,0,0,0,12.5,High Risk,Poor
360 ONE Quant Dir,solution-oriented,Solution: Children - Equity,Direct,-4.78,18.29,,BSE 500 TRI,0.79,13.68,,5.16,1.11,0.78,18,19.92,,,,,25,https://www.valueresearchonline.com/funds/41830/,INF579M01AI2,149318,,,,,,,4,2,1,7,1,4,1,6,1,1,1,1,4,1.5,1,2.5,0,0,0,0,0,19.5,Moderately High Risk,Average
ABSL Quant Dir,solution-oriented,Solution: Children - Equity,Direct,6.49,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44378/,INF209KC1118,152684,,,,,,,1,1,1,3,1,1,1,3,1,1.5,1.5,1,5.0,2,1.5,3.5,0,0,0,0,0,14.5,Moderately High Risk,Average
Axis Quant Dir,solution-oriented,Solution: Children - Equity,Direct,2.6,11.87,,BSE 500 TRI,0.79,13.68,,-1.21,1.03,0.42,16.51,12.87,,,,,25,https://www.valueresearchonline.com/funds/41529/,INF846K01Z87,148993,,,,,,,1,1,1,3,1,3,1,5,1,1,1.5,1,4.5,3,2,5,0,0,0,0,0,17.5,Moderately High Risk,Average
DSP Quant Dir,solution-oriented,Solution: Children - Equity,Direct,-2.09,8.54,7.46,BSE 500 TRI,0.79,13.68,12.33,-2.95,0.88,0.29,14.25,9.93,,,,,25,https://www.valueresearchonline.com/funds/39945/,INF740KA1NQ6,147306,,,,,,,1,1,1,3,2,2,1,5,1,1,1,1,4,2,1,3,0,0,0,0,0,15,Moderately High Risk,Average
ICICI Pru Quant Dir,solution-oriented,Solution: Children - Equity,Direct,-0.98,14.36,12.31,BSE 500 TRI,0.79,13.68,12.33,1.85,0.83,0.65,13.17,14.38,,,,,25,https://www.valueresearchonline.com/funds/41206/,INF109KC1O66,148600,,,,,,,2,2,1,5,2,3,1,6,1.5,1.5,1.5,1,5.5,2,1.5,3.5,0,0,0,0,0,20.0,Moderate Risk,Average
Kotak Quant Dir,solution-oriented,Solution: Children - Equity,Direct,2.65,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/43641/,INF174KA1OL0,151881,,,,,,,1,1,1,3,1,1,1,3,1,1,1,1,4,2,1,3,0,0,0,0,0,13,Moderately High Risk,Average
Motilal Oswal Quant Dir,solution-oriented,Solution: Children - Equity,Direct,-2.28,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44386/,INF247L01CS3,152694,,,,,,,1,1,1,3,1,1,1,3,1,1.5,1.5,1,5.0,3,1.5,4.5,0,0,0,0,0,15.5,Moderately High Risk,Average
Nippon India Quant Dir,solution-oriented,Solution: Children - Equity,Direct,2.61,17.26,15.6,BSE 500 TRI,0.79,13.68,12.33,3.4,0.95,0.73,15.18,16.89,,,,,25,https://www.valueresearchonline.com/funds/16155/,INF204K01J34,118769,,,,,,,3,2,1,6,1,3,1,5,1,1,1,1,4,2,1.5,3.5,0,0,0,0,0,18.5,Moderately High Risk,Average
Quant Quantamental Dir,solution-oriented,Solution: Children - Equity,Direct,13.76,20.57,20.96,BSE 500 TRI,0.79,13.68,12.33,6.99,1.12,0.85,18.79,21.77,,,,,14,https://www.valueresearchonline.com/funds/41450/,INF966L01AK9,148925,,,,,,,4,2,1,7,1,4,1,6,1,1,1,1,4,1.5,2,3.5,0,0,0,0,0,20.5,Moderate Risk,Average
SBI Quant Dir,solution-oriented,Solution: Children - Equity,Direct,-0.72,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44804/,INF200KB1506,153154,,,,,,,1,1,1,3,1,1,1,3,1,1,1,1,4,3,2,5,0,0,0,0,0,15,Moderately High Risk,Average
UTI Quant Dir,solution-oriented,Solution: Children - Equity,Direct,-2.68,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44865/,INF789F1AA98,153204,,,,,,,1,1,1,3,1,1,1,3,1.5,1.5,1.5,1,5.5,1.5,1,2.5,0,0,0,0,0,14.0,Moderately High Risk,Average
360 ONE Flexicap Dir,solution-oriented,Solution: Children - Debt,Direct,5.2,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/43547/,INF579M01AS1,151796,,,,,,,1,1,1,3,1,1,1,3,1,1,1,1,4,1.5,1,2.5,0,0,0,0,0,12.5,High Risk,Poor
360 ONE Focused Dir,solution-oriented,Solution: Children - Debt,Direct,2.75,14.05,13.7,BSE 500 TRI,0.79,13.68,12.33,0.8,0.92,0.56,14.61,14,,,,,25,https://www.valueresearchonline.com/funds/28458/,INF579M01902,131580,,,,,,,2,2,1,5,2,3,1,6,1,1,1,1,4,1.5,1,2.5,0,0,0,0,0,17.5,Moderately High Risk,Average
Abakkus Flexi Cap Dir,solution-oriented,Solution: Children - Debt,Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45683/,INF2JJD01136,154043,,,,,,,1,1,1,3,1,1,1,3,1,1.5,2,1,5.5,2,2,4,0,0,0,0,0,15.5,Moderately High Risk,Average
ABSL Bal Bhavishya Yojna Dir,solution-oriented,Solution: Children - Debt,Direct,4.02,14.03,10.8,BSE 500 TRI,0.79,13.68,12.33,0.92,0.97,0.56,15.43,14.57,,,,,25,https://www.valueresearchonline.com/funds/38821/,INF209KB1E84,146407,,,,,,,2,2,1,5,1,3,1,5,1.5,1.5,1.5,1,5.5,1.5,2,3.5,0,0,0,0,0,19.0,Moderately High Risk,Average
ABSL BSE 500 Momentum 50 Index Fund Dir,solution-oriented,Solution: Children - Debt,Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45377/,INF209KC1589,153736,,,,,,,1,1,1,3,1,1,1,3,1.5,1.5,1.5,1,5.5,1.5,1,2.5,0,0,0,0,0,14.0,Moderately High Risk,Average
ABSL BSE 500 Quality 50 Index Dir,solution-oriented,Solution: Children - Debt,Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45381/,INF209KC1613,153740,,,,,,,1,1,1,3,1,1,1,3,1.5,1.5,1.5,1,5.5,1.5,1,2.5,0,0,0,0,0,14.0,Moderately High Risk,Average
ABSL Flexi Cap Dir,solution-oriented,Solution: Children - Debt,Direct,5.77,17.51,13.34,BSE 500 TRI,0.79,13.68,12.33,3.66,0.95,0.76,14.78,17.13,,,,,25,https://www.valueresearchonline.com/funds/15741/,INF209K01XX1,120564,,,,,,,3,2,1,6,2,3,1,6,1.5,1.5,1.5,1,5.5,1.5,1.5,3.0,0,0,0,0,0,20.5,Moderate Risk,Average
ABSL Focused Dir,solution-oriented,Solution: Children - Debt,Direct,1.21,15.61,12.66,BSE 500 TRI,0.79,13.68,12.33,2.15,0.9,0.66,14.15,15.2,,,,,25,https://www.valueresearchonline.com/funds/15883/,INF209K01WE3,119564,,,,,,,3,2,1,6,2,3,1,6,1,1,1.5,1,4.5,1.5,1.5,3.0,0,0,0,0,0,19.5,Moderately High Risk,Average
ABSL Retirement 30s Dir,solution-oriented,Solution: Children - Debt,Direct,12.11,18.56,13.1,BSE 500 TRI,0.79,13.68,12.33,4.33,1,0.77,15.97,18.15,,,,,25,https://www.valueresearchonline.com/funds/39181/,INF209KB1I23,146575,,,,,,,4,2,1,7,1,4,1,6,1.5,2,2,1,6.5,1.5,1.5,3.0,0,0,0,0,0,22.5,Moderate Risk,Average
Angel One Nifty Total Market ETF,solution-oriented,Solution: Children - Debt,Direct,0.19,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44964/,INF1J2R01023,153330,,,,,,,1,1,1,3,1,1,1,3,2,1.5,1.5,1,6.0,2,2,4,0,0,0,0,0,16.0,Moderately High Risk,Average
Angel One Nifty Total Market Index Dir,solution-oriented,Solution: Children - Debt,Direct,0.14,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44963/,INF1J2R01023,153330,,,,,,,1,1,1,3,1,1,1,3,2,1,1,1,5,2,1,3,0,0,0,0,0,14,Moderately High Risk,Average
Angel One Nifty Total Market Momentum Quality 50 ETF,solution-oriented,Solution: Children - Debt,Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45605/,INF1J2R01122,153956,,,,,,,1,1,1,3,1,1,1,3,1.5,1,1.5,1,5.0,1.5,1,2.5,0,0,0,0,0,13.5,Moderately High Risk,Average
Angel One Nifty Total Market Momentum Quality 50 Index Dir,solution-oriented,Solution: Children - Debt,Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45607/,INF1J2R01122,153956,,,,,,,1,1,1,3,1,1,1,3,1.5,1,1,1,4.5,1.5,1,2.5,0,0,0,0,0,13.0,Moderately High Risk,Average
Axis Flexi Cap Dir,solution-oriented,Solution: Children - Debt,Direct,2.81,14.83,11.1,BSE 500 TRI,0.79,13.68,12.33,0.51,0.96,0.53,15.39,14.09,,,,,25,https://www.valueresearchonline.com/funds/34711/,INF846K01B28,141925,,,,,,,2,2,1,5,1,3,1,5,1.5,1.5,1.5,1,5.5,1,1.5,2.5,0,0,0,0,0,18.0,Moderately High Risk,Average
Axis Focused Dir,solution-oriented,Solution: Children - Debt,Direct,-2.22,10.36,6.52,BSE 500 TRI,0.79,13.68,12.33,-3.31,0.91,0.27,14.86,9.82,,,,,25,https://www.valueresearchonline.com/funds/15684/,INF846K01CQ8,120468,,,,,,,1,1,1,3,2,2,1,5,1,1,1,1,4,1,1,2,0,0,0,0,0,14,Moderately High Risk,Average
Axis Nifty 500 Index Dir,solution-oriented,Solution: Children - Debt,Direct,-0.08,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44413/,INF846K019W9,152731,,,,,,,1,1,1,3,1,1,1,3,2,1.5,1.5,1,6.0,2,1.5,3.5,0,0,0,0,0,15.5,Moderately High Risk,Average
Axis Nifty500 Momentum 50 Index Dir,solution-oriented,Solution: Children - Debt,Direct,-1.67,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44905/,INF846KA1044,153244,,,,,,,1,1,1,3,1,1,1,3,1.5,1,1.5,1,5.0,1.5,1.5,3.0,0,0,0,0,0,14.0,Moderately High Risk,Average
Axis Nifty500 Quality 50 Index Dir,solution-oriented,Solution: Children - Debt,Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45468/,INF846KA1200,153829,,,,,,,1,1,1,3,1,1,1,3,1.5,1.5,1.5,1,5.5,1.5,1,2.5,0,0,0,0,0,14.0,Moderately High Risk,Average
Bajaj Finserv Flexi Cap Dir,solution-oriented,Solution: Children - Debt,Direct,5.91,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/43653/,INF0QA701342,151895,,,,,,,1,1,1,3,1,1,1,3,1.5,1.5,1.5,1,5.5,1.5,1.5,3.0,0,0,0,0,0,14.5,Moderately High Risk,Average
Bandhan Flexi Cap Dir,solution-oriented,Solution: Children - Debt,Direct,0.58,14.28,11.94,BSE 500 TRI,0.79,13.68,12.33,1.36,0.88,0.61,13.88,14.27,,,,,25,https://www.valueresearchonline.com/funds/16501/,INF194K01W62,118424,,,,,,,2,2,1,5,2,3,1,6,2,1.5,1.5,1,6.0,2,2,4,0,0,0,0,0,21.0,Moderate Risk,Average
Bandhan Focused Dir,solution-oriented,Solution: Children - Debt,Direct,2.02,16.79,13.47,BSE 500 TRI,0.79,13.68,12.33,3.36,0.98,0.67,16.72,17.06,,,,,25,https://www.valueresearchonline.com/funds/16507/,INF194K01W21,118421,,,,,,,3,2,1,6,1,3,1,5,1,1,1,1,4,3,2,5,0,0,0,0,0,20,Moderate Risk,Average
Bandhan Nifty 500 Momentum 50 Index Dir,solution-oriented,Solution: Children - Debt,Direct,-2.04,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44630/,INF194KB1IY0,153003,,,,,,,1,1,1,3,1,1,1,3,1.5,1,1.5,1,5.0,1.5,1.5,3.0,0,0,0,0,0,14.0,Moderately High Risk,Average
Bandhan Nifty Alpha 50 Index Dir,solution-oriented,Solution: Children - Debt,Direct,0.02,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/43864/,INF194KB1HA2,152177,,,,,,,1,1,1,3,1,1,1,3,1.5,1.5,1.5,1,5.5,1.5,1,2.5,0,0,0,0,0,14.0,Moderately High Risk,Average
Bandhan Nifty Total Mkt Index Dir,solution-oriented,Solution: Children - Debt,Direct,-0.11,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44403/,INF194KB1IK9,152716,,,,,,,1,1,1,3,1,1,1,3,2,1.5,1.5,1,6.0,2,2,4,0,0,0,0,0,16.0,Moderately High Risk,Average
Bank of India Flexi Cap Dir,solution-oriented,Solution: Children - Debt,Direct,9.3,22.98,18.15,BSE 500 TRI,0.79,13.68,12.33,7.64,1.12,0.87,19.06,22.48,,,,,25,https://www.valueresearchonline.com/funds/41018/,INF761K01FF5,148404,,,,,,,4,2,1,7,1,4,1,6,1.5,1.5,2,1.5,6.5,2,1.5,3.5,0,0,0,0,0,23.0,Moderate Risk,Average
Baroda BNP Paribas Children's Dir,solution-oriented,Solution: Children - Debt,Direct,5.46,,,BSE 500 TRI,0.79,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44780/,INF251K01UE9,153171,,,,,,,1,1,1,3,1,1,1,3,1.5,2,2,1,6.5,1.5,1.5,3.0,0,0,0,0,0,15.5,Moderately High Risk,Average
Baroda BNP Paribas Flexi Cap Dir,solution-oriented,Solution: Children - Debt,Direct,1.57,15.24,,BSE 500 TRI,0.79,13.68,,2.21,1,0.64,15.9,16.06,,,,,25,https://www.valueresearchonline.com/funds/42312/,INF251K01QZ2,150387,,,,,,,3,2,1,6,1,3,1,5,1,1.5,2,1,5.5,2,2,4,0,0,0,0,0,20.5,Moderate Risk,Average
Baroda BNP Paribas Focused Dir,solution-oriented,Solution: Children - Debt,Direct,-4.42,11.84,11.62,BSE 500 TRI,0.79,13.68,12.33,-1.38,1.08,0.42,17.32,13.11,,,,,25,https://www.valueresearchonline.com/funds/34653/,INF251K01PN0,150264,,,,,,,1,1,1,3,1,3,1,5,1,1,1.5,1,4.5,2,2,4,0,0,0,0,0,16.5,Moderately High Risk,Average
Canara Robeco Flexi Cap Dir,solution-oriented,Solution: Children - Debt,Direct,-0.01,13.86,12.07,BSE 500 TRI,0.79,13.68,12.33,0.21,0.93,0.53,14.53,13.53,,,,,25,https://www.valueresearchonline.com/funds/16588/,INF760K01EF0,118275,,,,,,,2,2,1,5,2,3,1,6,1.5,1,1,1,4.5,1.5,1,2.5,0,0,0,0,0,18.0,Moderately High Risk,Average
